Date,Open,High,Low,Close,Adj Close,Volume,price_change_per_day,price_change_ratio_per_day
2015-02-17,233.421997,245.774994,232.313995,243.610001,243.610001,27363100,10.188004000000006,0.04364628925696324
2015-02-18,243.779999,244.251007,232.339996,236.326004,236.326004,25200800,-7.453994999999992,-0.03057672914339454
2015-02-19,236.410004,242.671997,235.591995,240.283005,240.283005,18270500,3.8730010000000163,0.016382559682203705
2015-02-20,240.251007,247.100998,239.298996,243.779007,243.779007,23876700,3.52800000000002,0.014684641883727964
2015-02-21,243.751999,255.320007,243.184006,244.533997,244.533997,12284200,0.7819979999999873,0.0032081706127874148
2015-02-22,244.544006,246.391998,233.850998,235.977005,235.977005,19527000,-8.567001000000005,-0.0350325536091856
2015-02-23,235.994995,240.108994,232.421005,238.891998,238.891998,16400000,2.897003000000012,0.01227569677907793
2015-02-24,238.998001,239.901001,236.401993,238.735001,238.735001,14200400,-0.2629999999999768,-0.001100427614036725
2015-02-25,238.889999,239.339996,235.529999,237.470001,237.470001,11496200,-1.4199979999999925,-0.005944150052091517
2015-02-26,237.337006,237.710007,234.257004,236.425995,236.425995,13619400,-0.911011000000002,-0.0038384700951355306
2015-02-27,236.436005,256.653015,236.436005,253.828003,253.828003,44013900,17.391998,0.07355900807070395
2015-02-28,253.520004,254.692001,249.479004,254.263,254.263,13949300,0.7429960000000051,0.002930719423623885
2015-03-01,254.283005,261.660004,245.932999,260.201996,260.201996,25213700,5.918991000000005,0.023277178905448302
2015-03-02,260.356995,276.300995,258.312988,275.670013,275.670013,40465700,15.313018,0.05881546604883806
2015-03-03,275.04599,285.79599,268.161011,281.701996,281.701996,50461300,6.656005999999991,0.02419961112685188
2015-03-04,281.98999,284.225006,268.126007,273.09201,273.09201,41383000,-8.897979999999961,-0.03155424063102368
2015-03-05,272.739014,281.666992,264.769012,276.178009,276.178009,41302400,3.438994999999977,0.012609105494529569
2015-03-06,275.600006,277.608002,270.015015,272.722992,272.722992,28918900,-2.877014000000031,-0.010439092660977776
2015-03-07,272.294006,277.854004,270.132996,276.260986,276.260986,17825900,3.966979999999978,0.014568737881068076
2015-03-08,276.433014,277.858002,272.565002,274.354004,274.354004,22067900,-2.0790100000000393,-0.0075208455383698825
2015-03-09,274.812012,292.700989,273.893005,289.606995,289.606995,59178200,14.794983000000002,0.05383674058614295
2015-03-10,289.862,300.044006,289.743011,291.76001,291.76001,67770800,1.8980099999999993,0.006547978003325718
2015-03-11,291.524994,297.390991,290.507996,296.378998,296.378998,33963900,4.854004000000032,0.01665038710197189
2015-03-12,296.127014,297.088013,292.412994,294.354004,294.354004,32585200,-1.7730099999999993,-0.005987329477478875
2015-03-13,294.118011,294.497986,285.337006,285.337006,285.337006,31421500,-8.78100500000005,-0.029855380056952884
2015-03-14,284.441986,286.34201,280.976013,281.88501,281.88501,22612300,-2.5569759999999633,-0.00898944644550458
2015-03-15,281.424988,286.528992,280.996002,286.393005,286.393005,11970100,4.968017000000032,0.017653077060804677
2015-03-16,285.684998,294.112,285.684998,290.592987,290.592987,21516100,4.907988999999986,0.017179722541818546
2015-03-17,290.595001,292.36499,284.373993,285.505005,285.505005,21497200,-5.089996000000042,-0.017515772750681426
